#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         224    -4.76372    -4.83467   0.0239507
         225    -4.81073    -4.83456   0.0238445
         226    -4.81844    -4.83449   0.0237391
         227    -4.84539    -4.83454   0.0236345
         228    -4.78296    -4.83431    0.023532
         229    -4.61618    -4.83336   0.0234485
         230     -4.4333    -4.83162   0.0234109
         231    -4.41084     -4.8298   0.0233804
         232    -4.61134    -4.82886   0.0232985
         233    -4.79813    -4.82873   0.0231989
         234    -4.70651     -4.8282   0.0231057
         235    -4.68371    -4.82759   0.0230155
         236    -4.71318     -4.8271   0.0229231
         237    -4.57392    -4.82604   0.0228513
         238    -4.71142    -4.82556   0.0227603
         239    -4.64264    -4.82479   0.0226779
         240    -4.65082    -4.82406    0.022595
         241    -4.52846    -4.82284   0.0225346
         242    -4.55283    -4.82172    0.022469
         243    -4.52903    -4.82052   0.0224088
         244    -4.52894    -4.81932   0.0223488
         245    -4.58615    -4.81837   0.0222779
         246    -4.60483     -4.8175   0.0222042
         247    -4.74844    -4.81722   0.0221161
         248    -4.90106    -4.81756   0.0220295
         249    -4.83809    -4.81764   0.0219412
         250    -4.87998    -4.81789   0.0218548
         251    -4.82307    -4.81791   0.0217678
         252    -4.71515    -4.81751   0.0216852
         253    -4.77171    -4.81733   0.0216002
         254     -4.8469    -4.81744   0.0215155
         255    -4.73194    -4.81711   0.0214338
         256    -4.51001    -4.81591   0.0213836
         257     -4.5375    -4.81482   0.0213278
         258    -4.47223     -4.8135   0.0212864
         259    -4.52064    -4.81236   0.0212342
         260    -4.44985    -4.81097   0.0211983
         261    -4.44339    -4.80956   0.0211638
         262     -4.4115    -4.80804   0.0211375
         263    -4.68129    -4.80756   0.0210626
         264    -4.64937    -4.80696   0.0209914
         265    -4.68747    -4.80651    0.020917
         266     -4.6856    -4.80606   0.0208433
         267    -4.62274    -4.80537   0.0207765
         268    -4.58541    -4.80455   0.0207152
         269    -4.78872    -4.80449   0.0206383
         270    -4.73713    -4.80424   0.0205634
         271    -4.70061    -4.80386    0.020491
         272    -4.76684    -4.80372   0.0204161
         273    -4.72129    -4.80342   0.0203436
         274    -4.70417    -4.80306   0.0202726
         275    -4.84712    -4.80322   0.0201995
         276    -4.75427    -4.80304   0.0201271
         277    -4.60086    -4.80231   0.0200677
         278    -4.59282    -4.80156   0.0200096
         279    -4.60725    -4.80086     0.01995
         280    -4.60095    -4.80015   0.0198915
         281    -4.60723    -4.79946   0.0198326
         282     -4.5831    -4.79869   0.0197771
         283    -4.62009    -4.79806   0.0197173
         284    -4.42101    -4.79673   0.0196925
         285    -4.46874    -4.79558    0.019657
         286    -4.71317     -4.7953   0.0195904
         287     -4.6186    -4.79468   0.0195318
         288     -4.5371    -4.79379   0.0194844
         289    -4.34975    -4.79225   0.0194775
         290    -4.55199    -4.79142    0.019428
         291    -4.45426    -4.79026   0.0193957
         292    -4.45031     -4.7891   0.0193642
         293    -4.40905     -4.7878   0.0193415
         294    -4.59989    -4.78716   0.0192863
         295    -4.56122     -4.7864   0.0192361
         296     -4.5918    -4.78574   0.0191823
         297    -4.56935    -4.78501   0.0191316
         298     -4.5516    -4.78423   0.0190834
         299    -4.67708    -4.78387   0.0190229
         300    -4.55349     -4.7831    0.018975
         301     -4.4902    -4.78213   0.0189369
         302    -4.39377    -4.78084   0.0189178
         303    -4.38862    -4.77955   0.0188996
         304     -4.5519     -4.7788   0.0188523
         305    -4.62246    -4.77829   0.0187975
         306    -4.58688    -4.77766   0.0187464
         307    -4.64433    -4.77723   0.0186904
         308    -4.70963    -4.77701    0.018631
         309    -4.49422    -4.77609   0.0185932
         310    -4.70424    -4.77586   0.0185346
         311    -4.55977    -4.77516   0.0184881
         312    -4.65433    -4.77478   0.0184329
         313    -4.79853    -4.77485   0.0183741
         314    -4.75739     -4.7748   0.0183157
         315    -4.61698     -4.7743   0.0182644
         316    -4.63727    -4.77386   0.0182117
         317    -4.55989    -4.77319   0.0181668
         318    -4.76256    -4.77315   0.0181097
         319    -4.80244    -4.77325   0.0180532
         320    -4.80793    -4.77335   0.0179971
         321    -4.78126    -4.77338    0.017941
         322    -4.57789    -4.77277   0.0178956
         323    -4.64608    -4.77238   0.0178445
         324    -4.90511    -4.77279   0.0177941
         325    -5.00589    -4.77351   0.0177538
         326     -5.0796    -4.77445   0.0177241
         327    -5.03087    -4.77523   0.0176873
         328    -4.94947    -4.77576   0.0176413
         329    -5.01926     -4.7765   0.0176032
         330    -5.00544    -4.77719   0.0175635
         331    -5.09803    -4.77816   0.0175372
         332    -4.88118    -4.77847   0.0174871
         333    -4.92054     -4.7789   0.0174398
         334    -5.01151     -4.7796   0.0174015
         335    -4.72466    -4.77943   0.0173503
         336    -4.86737    -4.77969   0.0173007
         337    -4.73518    -4.77956   0.0172498
         338     -4.8058    -4.77964    0.017199
         339    -4.90141       -4.78    0.017152
         340    -5.06133    -4.78083   0.0171215
         341    -4.81501    -4.78093   0.0170716
         342    -4.85079    -4.78113   0.0170229
         343    -4.77832    -4.78112   0.0169733
         344     -4.7271    -4.78097   0.0169246
         345    -4.63739    -4.78055   0.0168807
         346    -4.67628    -4.78025   0.0168346
         347    -4.72839     -4.7801   0.0167868
         348    -4.74387       -4.78   0.0167388
         349    -4.59277    -4.77946   0.0166995
         350     -4.5938    -4.77893   0.0166602
         351    -4.82066    -4.77905   0.0166131
         352    -4.89877    -4.77939   0.0165694
         353    -4.84439    -4.77957   0.0165235
         354     -4.8987    -4.77991   0.0164803
         355    -4.79974    -4.77996   0.0164339
         356    -4.76745    -4.77993   0.0163878
         357    -4.73929    -4.77981   0.0163423
         358    -4.79818    -4.77987   0.0162967
         359    -4.66874    -4.77956   0.0162543
         360    -4.59061    -4.77903   0.0162176
         361    -4.62312     -4.7786   0.0161784
         362    -4.72915    -4.77846   0.0161343
         363    -4.66027    -4.77814   0.0160931
         364    -4.71197    -4.77796     0.01605
         365    -4.89228    -4.77827    0.016009
         366    -4.80124    -4.77833   0.0159654
         367    -4.87852     -4.7786   0.0159243
         368    -4.80799    -4.77868   0.0158812
         369    -4.92767    -4.77909   0.0158433
         370      -4.954    -4.77956   0.0158075
         371     -5.0358    -4.78025     0.01578
         372    -4.78236    -4.78026   0.0157376
         373    -4.70191    -4.78005   0.0156968
         374    -4.74462    -4.77995   0.0156551
         375    -4.63134    -4.77956   0.0156184
         376     -4.5133    -4.77885   0.0155929
         377    -4.57531    -4.77831   0.0155608
         378    -4.70276    -4.77811    0.015521
         379    -4.80683    -4.77818   0.0154802
         380    -4.77168    -4.77817   0.0154395
         381    -4.72448    -4.77803   0.0153996
         382    -4.65541    -4.77771   0.0153626
         383    -4.66162     -4.7774   0.0153255
         384     -4.8994    -4.77772   0.0152889
         385    -4.57264    -4.77719   0.0152584
         386    -4.71113    -4.77702   0.0152199
         387    -4.75924    -4.77697   0.0151806
         388    -4.79554    -4.77702   0.0151416
         389    -4.68772    -4.77679   0.0151044
         390    -4.60181    -4.77634   0.0150723
         391    -4.53393    -4.77572   0.0150465
         392    -4.48479    -4.77498   0.0150264
         393    -4.50657    -4.77429   0.0150037
         394    -4.68526    -4.77407   0.0149673
         395    -4.86242    -4.77429   0.0149311
         396    -4.87535    -4.77455   0.0148956
         397    -4.91768    -4.77491   0.0148624
         398    -4.71345    -4.77475   0.0148259
         399    -4.81259    -4.77485    0.014789
         400    -4.79793    -4.77491   0.0147522
         401    -4.86938    -4.77514   0.0147173
         402    -4.96551    -4.77562   0.0146883
         403    -4.89827    -4.77592    0.014655
         404    -4.89829    -4.77622   0.0146218
         405    -4.90386    -4.77654   0.0145891
         406     -4.6957    -4.77634   0.0145545
         407    -4.73226    -4.77623   0.0145192
         408    -4.58995    -4.77577   0.0144908
         409     -4.6005    -4.77535   0.0144617
         410    -4.76966    -4.77533   0.0144264
         411     -4.8684    -4.77556   0.0143931
         412    -4.75724    -4.77551   0.0143582
         413    -4.87679    -4.77576   0.0143255
         414    -4.90318    -4.77607   0.0142943
         415    -4.87149     -4.7763   0.0142617
         416    -4.88886    -4.77657   0.0142299
         417    -4.78617    -4.77659   0.0141958
         418    -4.79779    -4.77664    0.014162
         419    -4.82013    -4.77674   0.0141285
         420    -4.84758    -4.77691   0.0140959
         421    -4.80376    -4.77698   0.0140626
         422    -4.73629    -4.77688   0.0140296
         423    -4.70542    -4.77671   0.0139974
         424    -4.89061    -4.77698    0.013967
         425    -4.86587    -4.77719   0.0139357
         426     -4.8212    -4.77729   0.0139034
         427    -4.79001    -4.77732   0.0138708
         428    -4.71512    -4.77718   0.0138392
         429    -4.78352    -4.77719   0.0138069
         430    -4.80327    -4.77725    0.013775
         431    -4.77509    -4.77725    0.013743
         432    -4.75809     -4.7772   0.0137113
         433    -4.92287    -4.77754   0.0136837
