#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         280     1.19237      1.2958    0.018943
         281     1.19169     1.29543   0.0188792
         282     1.19099     1.29506   0.0188159
         283     1.19025     1.29469    0.018753
         284     1.18948     1.29432   0.0186907
         285     1.18867     1.29395   0.0186288
         286     1.18781     1.29358   0.0185673
         287     1.18692     1.29321   0.0185063
         288     1.18597     1.29283   0.0184458
         289     1.18497     1.29246   0.0183858
         290     1.18391     1.29209   0.0183262
         291      1.1828     1.29171   0.0182671
         292     1.18161     1.29133   0.0182084
         293     1.18037     1.29096   0.0181502
         294     1.17905     1.29058   0.0180924
         295     1.17765     1.29019   0.0180352
         296     1.17618     1.28981   0.0179783
         297     1.17464     1.28942    0.017922
         298     1.17301     1.28903   0.0178661
         299      1.1713     1.28864   0.0178107
         300     1.16952     1.28824   0.0177557
         301     1.16765     1.28784   0.0177013
         302     1.16572     1.28743   0.0176473
         303     1.16371     1.28702   0.0175938
         304     1.16164     1.28661   0.0175407
         305      1.1595      1.2862   0.0174882
         306     1.15731     1.28577   0.0174361
         307     1.15507     1.28535   0.0173845
         308     1.15278     1.28492   0.0173334
         309     1.15046     1.28448   0.0172827
         310      1.1481     1.28404   0.0172326
         311     1.14572      1.2836   0.0171829
         312     1.14333     1.28315   0.0171337
         313     1.14092     1.28269    0.017085
         314      1.1385     1.28224   0.0170368
         315     1.13608     1.28177    0.016989
         316     1.13365      1.2813   0.0169417
         317     1.13123     1.28083   0.0168949
         318     1.12881     1.28035   0.0168485
         319     1.12638     1.27987   0.0168026
         320     1.12396     1.27938   0.0167572
         321     1.12154     1.27889   0.0167122
         322     1.11912     1.27839   0.0166676
         323     1.11669     1.27789   0.0166235
         324     1.11425     1.27739   0.0165799
         325     1.11181     1.27688   0.0165367
         326     1.10935     1.27636    0.016494
         327     1.10688     1.27585   0.0164517
         328      1.1044     1.27532   0.0164098
         329      1.1019      1.2748   0.0163684
         330     1.09939     1.27426   0.0163274
         331     1.09688     1.27373   0.0162869
         332     1.09436     1.27319   0.0162468
         333     1.09183     1.27264   0.0162071
         334     1.08932     1.27209   0.0161679
         335     1.08682     1.27154   0.0161291
         336     1.08435     1.27098   0.0160907
         337     1.08191     1.27042   0.0160527
         338     1.07953     1.26986   0.0160152
         339     1.07721     1.26929    0.015978
         340     1.07497     1.26872   0.0159412
         341     1.07282     1.26814   0.0159048
         342     1.07078     1.26757   0.0158688
         343     1.06886     1.26699   0.0158331
         344     1.06707     1.26641   0.0157977
         345     1.06543     1.26582   0.0157627
         346     1.06396     1.26524   0.0157279
         347     1.06265     1.26466   0.0156934
         348     1.06153     1.26407   0.0156592
         349      1.0606     1.26349   0.0156252
         350     1.05987     1.26291   0.0155914
         351     1.05933     1.26233   0.0155577
         352     1.05901     1.26175   0.0155242
         353     1.05889     1.26118   0.0154909
         354     1.05897     1.26061   0.0154577
         355     1.05927     1.26004   0.0154245
         356     1.05977     1.25948   0.0153914
         357     1.06047     1.25892   0.0153584
         358     1.06137     1.25837   0.0153254
         359     1.06246     1.25782   0.0152925
         360     1.06373     1.25728   0.0152595
         361     1.06516     1.25675   0.0152265
         362     1.06676     1.25622   0.0151935
         363     1.06851     1.25571   0.0151604
         364      1.0704      1.2552   0.0151273
         365     1.07241      1.2547   0.0150941
         366     1.07453     1.25421   0.0150609
         367     1.07675     1.25372   0.0150277
         368     1.07905     1.25325   0.0149943
         369     1.08143     1.25278   0.0149609
         370     1.08386     1.25232   0.0149274
         371     1.08633     1.25188   0.0148939
         372     1.08883     1.25144   0.0148603
         373     1.09135     1.25101   0.0148267
         374     1.09387     1.25059    0.014793
         375     1.09638     1.25018   0.0147592
         376     1.09887     1.24978   0.0147255
         377     1.10134     1.24938   0.0146917
         378     1.10376       1.249   0.0146579
         379     1.10614     1.24862    0.014624
         380     1.10846     1.24825   0.0145902
         381     1.11073     1.24789   0.0145564
         382     1.11292     1.24754   0.0145225
         383     1.11504     1.24719   0.0144888
         384     1.11708     1.24685    0.014455
         385     1.11903     1.24652   0.0144212
         386     1.12089     1.24619   0.0143876
         387     1.12265     1.24588   0.0143539
         388     1.12432     1.24556   0.0143203
         389     1.12588     1.24525   0.0142868
         390     1.12733     1.24495   0.0142534
         391     1.12866     1.24465   0.0142201
         392     1.12987     1.24436   0.0141868
         393     1.13095     1.24407   0.0141536
         394      1.1319     1.24379   0.0141206
         395      1.1327     1.24351   0.0140876
         396     1.13335     1.24323   0.0140548
         397     1.13385     1.24295   0.0140221
         398     1.13419     1.24268   0.0139895
         399     1.13435     1.24241   0.0139571
         400     1.13434     1.24214   0.0139248
         401     1.13415     1.24187   0.0138927
         402     1.13378      1.2416   0.0138607
         403     1.13322     1.24133    0.013829
         404     1.13248     1.24106   0.0137973
         405     1.13156     1.24079   0.0137659
         406     1.13047     1.24052   0.0137347
         407      1.1292     1.24025   0.0137037
         408     1.12779     1.23997   0.0136729
         409     1.12623     1.23969   0.0136423
         410     1.12455     1.23941   0.0136119
         411     1.12277     1.23913   0.0135817
         412      1.1209     1.23884   0.0135518
         413     1.11899     1.23855   0.0135221
         414     1.11705     1.23826   0.0134926
         415     1.11512     1.23796   0.0134634
         416     1.11322     1.23766   0.0134343
         417     1.11138     1.23736   0.0134055
         418     1.10962     1.23705   0.0133769
         419     1.10797     1.23674   0.0133486
         420     1.10645     1.23643   0.0133204
         421     1.10508     1.23612   0.0132924
         422     1.10387     1.23581   0.0132646
         423     1.10281     1.23549    0.013237
         424     1.10192     1.23518   0.0132095
         425     1.10119     1.23486   0.0131822
         426      1.1006     1.23455    0.013155
         427     1.10015     1.23423   0.0131279
         428     1.09982     1.23392    0.013101
         429     1.09958     1.23361   0.0130742
         430     1.09941     1.23329   0.0130475
         431     1.09929     1.23298    0.013021
         432      1.0992     1.23267   0.0129945
         433     1.09909     1.23237   0.0129682
         434     1.09897     1.23206   0.0129419
         435      1.0988     1.23175   0.0129158
         436     1.09857     1.23145   0.0128898
         437     1.09826     1.23114   0.0128639
         438     1.09786     1.23084   0.0128381
         439     1.09736     1.23053   0.0128125
         440     1.09676     1.23023    0.012787
         441     1.09605     1.22993   0.0127616
         442     1.09525     1.22962   0.0127364
         443     1.09434     1.22932   0.0127113
         444     1.09334     1.22901   0.0126863
         445     1.09225      1.2287   0.0126615
         446     1.09108     1.22839   0.0126369
         447     1.08986     1.22808   0.0126124
         448     1.08857     1.22777   0.0125881
         449     1.08725     1.22746    0.012564
         450     1.08589     1.22714     0.01254
         451     1.08452     1.22683   0.0125162
         452     1.08314     1.22651   0.0124925
         453     1.08177     1.22619    0.012469
         454     1.08041     1.22587   0.0124457
         455     1.07907     1.22555   0.0124225
         456     1.07775     1.22522   0.0123995
         457     1.07647      1.2249   0.0123767
         458     1.07523     1.22457    0.012354
         459     1.07403     1.22424   0.0123314
         460     1.07287     1.22391    0.012309
         461     1.07176     1.22358   0.0122867
         462      1.0707     1.22325   0.0122646
         463     1.06968     1.22292   0.0122426
         464     1.06873     1.22259   0.0122207
         465     1.06782     1.22226   0.0121989
         466     1.06698     1.22192   0.0121773
         467      1.0662     1.22159   0.0121558
         468     1.06549     1.22126   0.0121344
         469     1.06485     1.22092   0.0121131
         470     1.06429     1.22059   0.0120919
         471     1.06381     1.22026   0.0120708
         472     1.06343     1.21992   0.0120498
         473     1.06314     1.21959   0.0120289
         474     1.06296     1.21926   0.0120081
         475     1.06288     1.21893   0.0119873
         476     1.06292      1.2186   0.0119666
         477     1.06306     1.21828   0.0119459
         478     1.06331     1.21795   0.0119254
         479     1.06366     1.21763   0.0119048
         480     1.06412     1.21731   0.0118843
         481     1.06466     1.21699   0.0118638
         482     1.06527     1.21668   0.0118434
         483     1.06595     1.21637    0.011823
         484     1.06668     1.21606   0.0118026
         485     1.06743     1.21575   0.0117822
         486     1.06819     1.21545   0.0117619
         487     1.06895     1.21515   0.0117416
         488     1.06967     1.21485   0.0117213
         489     1.07035     1.21455   0.0117011
         490     1.07097     1.21426   0.0116809
         491     1.07151     1.21397   0.0116607
         492     1.07194     1.21368   0.0116406
         493     1.07227      1.2134   0.0116205
         494     1.07248     1.21311   0.0116005
         495     1.07254     1.21283   0.0115805
         496     1.07247     1.21254   0.0115606
         497     1.07224     1.21226   0.0115408
         498     1.07185     1.21198   0.0115211
         499     1.07129      1.2117   0.0115014
         500     1.07057     1.21141   0.0114819
         501     1.06968     1.21113   0.0114625
         502     1.06862     1.21085   0.0114431
         503     1.06738     1.21056   0.0114239
         504     1.06598     1.21028   0.0114049
         505     1.06441     1.20999    0.011386
         506     1.06269      1.2097   0.0113672
         507     1.06081      1.2094   0.0113485
         508     1.05879     1.20911   0.0113301
         509     1.05663     1.20881   0.0113118
         510     1.05435      1.2085   0.0112936
         511     1.05196      1.2082   0.0112757
         512     1.04947     1.20789   0.0112579
         513     1.04691     1.20757   0.0112404
         514     1.04428     1.20726    0.011223
         515     1.04161     1.20693   0.0112058
         516     1.03891     1.20661   0.0111888
         517      1.0362     1.20628    0.011172
         518      1.0335     1.20594   0.0111554
         519     1.03083     1.20561    0.011139
         520     1.02818     1.20527   0.0111228
         521     1.02559     1.20492   0.0111068
         522     1.02305     1.20457    0.011091
         523     1.02059     1.20422   0.0110754
         524      1.0182     1.20387     0.01106
         525     1.01588     1.20351   0.0110447
         526     1.01365     1.20315   0.0110296
         527     1.01149     1.20278   0.0110146
         528     1.00941     1.20242   0.0109999
         529      1.0074     1.20205   0.0109853
         530     1.00546     1.20168   0.0109708
         531     1.00359      1.2013   0.0109565
         532     1.00179     1.20093   0.0109423
         533     1.00004     1.20055   0.0109282
         534    0.998365     1.20017   0.0109143
         535    0.996749     1.19979   0.0109006
         536    0.995199     1.19941   0.0108869
         537    0.993719     1.19903   0.0108734
         538    0.992315     1.19864   0.0108599
         539    0.990994     1.19826   0.0108466
         540    0.989766     1.19787   0.0108334
         541    0.988642     1.19749   0.0108203
         542    0.987633      1.1971   0.0108072
         543     0.98675     1.19671   0.0107943
         544    0.986004     1.19632   0.0107814
         545    0.985408     1.19594   0.0107686
         546    0.984974     1.19555   0.0107558
         547    0.984715     1.19517    0.010743
         548    0.984636     1.19478   0.0107303
         549    0.984748      1.1944   0.0107175
         550    0.985058     1.19402   0.0107048
         551    0.985571     1.19364   0.0106921
         552     0.98629     1.19326   0.0106793
         553    0.987217     1.19289   0.0106665
         554    0.988352     1.19252   0.0106536
         555    0.989693     1.19216   0.0106407
         556    0.991238      1.1918   0.0106277
         557    0.992981     1.19144   0.0106146
         558    0.994916     1.19109   0.0106014
         559    0.997038     1.19074   0.0105881
         560    0.999338      1.1904   0.0105747
         561     1.00181     1.19006   0.0105612
         562     1.00443     1.18973   0.0105476
         563      1.0072     1.18941   0.0105338
         564     1.01011     1.18909     0.01052
         565     1.01315     1.18878   0.0105059
         566     1.01629     1.18847   0.0104918
         567     1.01954     1.18818   0.0104775
         568     1.02288     1.18788   0.0104631
         569      1.0263      1.1876   0.0104486
         570     1.02978     1.18732   0.0104339
         571     1.03333     1.18705   0.0104191
         572     1.03692     1.18679   0.0104042
         573     1.04055     1.18654   0.0103892
         574     1.04421     1.18629   0.0103741
         575     1.04789     1.18605   0.0103588
         576     1.05159     1.18581   0.0103435
         577      1.0553     1.18559    0.010328
         578     1.05901     1.18537   0.0103125
         579     1.06273     1.18516   0.0102968
         580     1.06645     1.18495   0.0102811
         581     1.07017     1.18475   0.0102653
         582     1.07389     1.18456   0.0102494
         583     1.07761     1.18438   0.0102335
         584     1.08132      1.1842   0.0102175
         585     1.08504     1.18403   0.0102014
         586     1.08876     1.18387   0.0101853
         587     1.09248     1.18372   0.0101692
         588     1.09621     1.18357    0.010153
         589     1.09993     1.18343   0.0101367
         590     1.10366     1.18329   0.0101204
         591     1.10738     1.18316   0.0101041
         592      1.1111     1.18304   0.0100878
         593      1.1148     1.18293   0.0100714
         594     1.11849     1.18282   0.0100551
         595     1.12215     1.18271   0.0100387
         596     1.12578     1.18262   0.0100223
         597     1.12936     1.18253   0.0100059
         598     1.13288     1.18245  0.00998951
         599     1.13632     1.18237  0.00997313
         600     1.13969      1.1823  0.00995676
         601     1.14295     1.18223  0.00994041
         602     1.14611     1.18217  0.00992408
         603     1.14914     1.18212  0.00990777
         604     1.15205     1.18207  0.00989149
         605     1.15481     1.18202  0.00987525
         606     1.15742     1.18198  0.00985903
         607     1.15987     1.18195  0.00984286
         608     1.16216     1.18191  0.00982672
         609     1.16428     1.18189  0.00981063
         610     1.16622     1.18186  0.00979458
         611       1.168     1.18184  0.00977858
         612      1.1696     1.18182  0.00976262
         613     1.17104      1.1818  0.00974671
         614     1.17232     1.18178  0.00973085
         615     1.17345     1.18177  0.00971503
         616     1.17443     1.18176  0.00969927
         617     1.17528     1.18175  0.00968356
         618       1.176     1.18174  0.00966789
         619      1.1766     1.18173  0.00965228
         620     1.17711     1.18172  0.00963671
         621     1.17752     1.18172  0.00962119
         622     1.17786     1.18171  0.00960573
         623     1.17813      1.1817  0.00959031
         624     1.17835      1.1817  0.00957494
         625     1.17852     1.18169  0.00955963
         626     1.17865     1.18169  0.00954436
         627     1.17876     1.18168  0.00952913
         628     1.17884     1.18168  0.00951396
         629      1.1789     1.18168  0.00949884
         630     1.17895     1.18167  0.00948376
         631     1.17899     1.18167  0.00946873
