#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         273          -1   -0.907985  0.00423484
         274          -1   -0.908321  0.00423268
         275          -1   -0.908655  0.00423039
         276          -1   -0.908986  0.00422799
         277          -1   -0.909314  0.00422548
         278          -1    -0.90964  0.00422285
         279          -1   -0.909964  0.00422012
         280          -1   -0.910286  0.00421728
         281       -0.92    -0.91032  0.00420241
         282       -0.92   -0.910355  0.00418765
         283       -0.92   -0.910389  0.00417299
         284       -0.92   -0.910423  0.00415843
         285       -0.92   -0.910456  0.00414398
         286       -0.92    -0.91049  0.00412962
         287       -0.92   -0.910523  0.00411537
         288       -0.92   -0.910556  0.00410121
         289       -0.92   -0.910588  0.00408715
         290       -0.92   -0.910621  0.00407318
         291       -0.92   -0.910653  0.00405931
         292       -0.84   -0.910411  0.00405262
         293       -0.84   -0.910171   0.0040459
         294       -0.84   -0.909932  0.00403918
         295       -0.84   -0.909695  0.00403243
         296       -0.76   -0.909189   0.0040504
         297       -0.76   -0.908687  0.00406779
         298       -0.76   -0.908188  0.00408463
         299       -0.84    -0.90796  0.00407733
         300       -0.92      -0.908  0.00406393
         301       -0.92    -0.90804  0.00405063
         302       -0.92   -0.908079  0.00403741
         303       -0.92   -0.908119  0.00402428
         304       -0.92   -0.908158  0.00401123
         305       -0.92   -0.908197  0.00399826
         306          -1   -0.908497  0.00399644
         307          -1   -0.908795  0.00399452
         308          -1   -0.909091  0.00399251
         309          -1   -0.909385  0.00399041
         310          -1   -0.909677  0.00398823
         311          -1   -0.909968  0.00398597
         312          -1   -0.910256  0.00398363
         313          -1   -0.910543   0.0039812
         314          -1   -0.910828  0.00397871
         315          -1   -0.911111  0.00397613
         316          -1   -0.911392  0.00397349
         317          -1   -0.911672  0.00397077
         318          -1    -0.91195  0.00396799
         319          -1   -0.912226  0.00396514
         320          -1     -0.9125  0.00396222
         321          -1   -0.912773  0.00395925
         322          -1   -0.913043  0.00395621
         323       -0.92   -0.913065  0.00394402
         324       -0.92   -0.913086   0.0039319
         325       -0.92   -0.913108  0.00391986
         326          -1   -0.913374  0.00391689
         327          -1   -0.913639  0.00391386
         328          -1   -0.913902  0.00391077
         329          -1   -0.914164  0.00390763
         330          -1   -0.914424  0.00390444
         331          -1   -0.914683  0.00390119
         332          -1    -0.91494   0.0038979
         333          -1   -0.915195  0.00389455
         334          -1   -0.915449  0.00389116
         335          -1   -0.915701  0.00388772
         336          -1   -0.915952  0.00388424
         337       -0.92   -0.915964  0.00387273
         338       -0.84    -0.91574  0.00386779
         339       -0.92   -0.915752   0.0038564
         340          -1      -0.916  0.00385301
         341          -1   -0.916246  0.00384958
         342          -1   -0.916491   0.0038461
         343          -1   -0.916735  0.00384259
         344          -1   -0.916977  0.00383903
         345          -1   -0.917217  0.00383544
         346          -1   -0.917457  0.00383181
         347       -0.92   -0.917464  0.00382077
         348       -0.92   -0.917471   0.0038098
         349       -0.92   -0.917479  0.00379889
         350       -0.92   -0.917486  0.00378805
         351       -0.92   -0.917493  0.00377726
         352          -1   -0.917727  0.00377379
         353          -1    -0.91796  0.00377029
         354          -1   -0.918192  0.00376676
         355          -1   -0.918423  0.00376319
         356          -1   -0.918652  0.00375959
         357          -1    -0.91888  0.00375596
         358          -1   -0.919106   0.0037523
         359          -1   -0.919331   0.0037486
         360          -1   -0.919556  0.00374488
         361          -1   -0.919778  0.00374113
         362       -0.92   -0.919779   0.0037308
         363       -0.92    -0.91978  0.00372052
         364       -0.92    -0.91978   0.0037103
         365       -0.92   -0.919781  0.00370013
         366       -0.84   -0.919563  0.00369644
         367       -0.84   -0.919346  0.00369272
         368       -0.92   -0.919348  0.00368269
         369       -0.84   -0.919133  0.00367898
         370       -0.92   -0.919135  0.00366904
         371       -0.92   -0.919137  0.00365915
         372       -0.92    -0.91914  0.00364931
         373          -1   -0.919357  0.00364596
         374          -1   -0.919572  0.00364258
         375          -1   -0.919787  0.00363918
         376          -1       -0.92  0.00363575
         377          -1   -0.920212  0.00363229
         378          -1   -0.920423  0.00362881
         379          -1   -0.920633   0.0036253
         380          -1   -0.920842  0.00362177
         381          -1    -0.92105  0.00361822
         382          -1   -0.921257  0.00361465
         383          -1   -0.921462  0.00361105
         384          -1   -0.921667  0.00360744
         385       -0.92   -0.921662  0.00359807
         386       -0.92   -0.921658  0.00358875
         387       -0.92   -0.921654  0.00357948
         388       -0.92   -0.921649  0.00357026
         389       -0.84    -0.92144  0.00356724
         390       -0.84   -0.921231   0.0035642
         391       -0.84   -0.921023  0.00356114
         392       -0.84   -0.920816  0.00355805
         393       -0.84   -0.920611  0.00355493
