#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         267       -0.92   -0.910412  0.00379195
         268       -0.92   -0.910448  0.00377797
         269       -0.92   -0.910483  0.00376409
         270       -0.92   -0.910519  0.00375031
         271       -0.92   -0.910554  0.00373664
         272       -0.92   -0.910588  0.00372306
         273       -0.92   -0.910623  0.00370958
         274       -0.92   -0.910657   0.0036962
         275       -0.92   -0.910691  0.00368292
         276       -0.92   -0.910725  0.00366973
         277       -0.92   -0.910758  0.00365663
         278       -0.92   -0.910791  0.00364363
         279       -0.92   -0.910824  0.00363072
         280       -0.92   -0.910857   0.0036179
         281       -0.84   -0.910605   0.0036138
         282       -0.92   -0.910638  0.00360114
         283       -0.92   -0.910671  0.00358857
         284       -0.92   -0.910704  0.00357608
         285       -0.92   -0.910737  0.00356368
         286       -0.92   -0.910769  0.00355137
         287       -0.92   -0.910801  0.00353914
         288       -0.92   -0.910833    0.003527
         289       -0.92   -0.910865  0.00351494
         290       -0.92   -0.910897  0.00350296
         291       -0.92   -0.910928  0.00349106
         292       -0.84   -0.910685  0.00348754
         293       -0.84   -0.910444  0.00348398
         294       -0.84   -0.910204  0.00348035
         295       -0.84   -0.909966  0.00347668
         296       -0.76   -0.909459  0.00350166
         297       -0.76   -0.908956  0.00352584
         298       -0.76   -0.908456  0.00354927
         299       -0.76    -0.90796  0.00357196
         300       -0.76   -0.907467  0.00359394
         301       -0.76   -0.906977  0.00361524
         302       -0.76    -0.90649  0.00363588
         303       -0.76   -0.906007  0.00365588
         304       -0.76   -0.905526  0.00367526
         305       -0.76   -0.905049  0.00369406
         306       -0.76   -0.904575  0.00371227
         307       -0.76   -0.904104  0.00372993
         308       -0.76   -0.903636  0.00374705
         309       -0.76   -0.903172  0.00376365
         310       -0.76    -0.90271  0.00377974
         311       -0.76   -0.902251  0.00379534
         312       -0.76   -0.901795  0.00381046
         313       -0.76   -0.901342  0.00382512
         314       -0.76   -0.900892  0.00383933
         315       -0.76   -0.900444  0.00385311
         316       -0.76        -0.9  0.00386646
         317       -0.76   -0.899558  0.00387941
         318       -0.76   -0.899119  0.00389195
         319       -0.76   -0.898683  0.00390411
         320       -0.76    -0.89825  0.00391589
         321       -0.76   -0.897819   0.0039273
         322       -0.76   -0.897391  0.00393836
         323       -0.68   -0.896718  0.00398326
         324       -0.68   -0.896049  0.00402673
         325       -0.76   -0.895631  0.00403605
         326       -0.76   -0.895215  0.00404505
         327       -0.84   -0.895046   0.0040362
         328       -0.84   -0.894878  0.00402739
         329       -0.84   -0.894711   0.0040186
         330       -0.84   -0.894545  0.00400984
         331       -0.84   -0.894381  0.00400111
         332       -0.84   -0.894217  0.00399241
         333       -0.84   -0.894054  0.00398374
         334       -0.84   -0.893892   0.0039751
         335       -0.84   -0.893731  0.00396648
         336       -0.84   -0.893571   0.0039579
         337       -0.84   -0.893412  0.00394935
         338       -0.76   -0.893018  0.00395734
         339       -0.76   -0.892625  0.00396507
         340       -0.84   -0.892471  0.00395643
         341       -0.84   -0.892317  0.00394782
         342       -0.84   -0.892164  0.00393924
         343       -0.84   -0.892012  0.00393069
         344       -0.84    -0.89186  0.00392217
         345       -0.84    -0.89171  0.00391368
         346       -0.84   -0.891561  0.00390522
         347       -0.76   -0.891182  0.00391233
         348       -0.84   -0.891034  0.00390385
         349       -0.84   -0.890888   0.0038954
         350       -0.84   -0.890743  0.00388698
         351       -0.84   -0.890598   0.0038786
         352       -0.84   -0.890455  0.00387024
         353       -0.84   -0.890312  0.00386191
         354       -0.84   -0.890169  0.00385362
         355       -0.84   -0.890028  0.00384535
         356       -0.84   -0.889888  0.00383712
         357       -0.84   -0.889748  0.00382891
         358       -0.84   -0.889609  0.00382074
         359       -0.84   -0.889471   0.0038126
         360       -0.84   -0.889333  0.00380448
         361       -0.84   -0.889197   0.0037964
         362       -0.76    -0.88884  0.00380265
         363       -0.76   -0.888485   0.0038087
         364       -0.76   -0.888132  0.00381456
         365       -0.76   -0.887781  0.00382023
         366       -0.68   -0.887213  0.00385174
         367       -0.84   -0.887084  0.00384339
         368       -0.84   -0.886957  0.00383508
         369       -0.84   -0.886829  0.00382679
         370       -0.84   -0.886703  0.00381854
         371       -0.84   -0.886577  0.00381033
         372       -0.84   -0.886452  0.00380214
         373       -0.84   -0.886327  0.00379399
         374       -0.84   -0.886203  0.00378586
         375       -0.92   -0.886293  0.00377684
         376       -0.92   -0.886383  0.00376786
         377       -0.92   -0.886472  0.00375892
         378       -0.92   -0.886561  0.00375002
         379       -0.92   -0.886649  0.00374116
         380       -0.92   -0.886737  0.00373235
