#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         233     1.34331     1.33062  0.00475744
         234     1.34437     1.33068  0.00473748
         235     1.34223     1.33072  0.00471757
         236     1.36058     1.33085  0.00469928
         237     1.35752     1.33096   0.0046808
         238     1.35619     1.33107  0.00466233
         239     1.35375     1.33116  0.00464379
         240       1.339      1.3312  0.00462455
         241     1.33778     1.33122  0.00460544
         242     1.33027     1.33122  0.00458641
         243     1.29548     1.33107   0.0045699
         244     1.28901      1.3309  0.00455442
         245      1.2981     1.33077   0.0045378
         246     1.30762     1.33067  0.00452033
         247     1.32739     1.33066  0.00450205
         248      1.3254     1.33064  0.00448394
         249     1.31326     1.33057  0.00446648
         250     1.29915     1.33044  0.00445038
         251     1.31347     1.33038  0.00443316
         252     1.27792     1.33017  0.00442046
         253     1.28563     1.32999  0.00440649
         254     1.31812     1.32994  0.00438939
         255     1.29176     1.32979  0.00437473
         256     1.29464     1.32966  0.00435979
         257     1.31343     1.32959  0.00434329
         258     1.29428     1.32946  0.00432861
         259     1.28902      1.3293  0.00431471
         260     1.27749      1.3291  0.00430271
         261     1.29917     1.32899  0.00428775
         262     1.30019     1.32888   0.0042728
         263     1.27913     1.32869  0.00426074
         264     1.30777     1.32861  0.00424533
         265     1.28049     1.32843  0.00423319
         266     1.27539     1.32823  0.00422197
         267     1.26216     1.32798  0.00421341
         268     1.27742     1.32779  0.00420191
         269     1.28749     1.32764  0.00418896
         270     1.28714     1.32749  0.00417613
         271     1.27319     1.32729  0.00416552
         272     1.30017     1.32719   0.0041514
         273     1.32094     1.32717  0.00413626
         274     1.31732     1.32713  0.00412132
         275     1.29507     1.32702  0.00410798
         276     1.30859     1.32695  0.00409364
         277     1.31525     1.32691  0.00407908
         278     1.31969     1.32688  0.00406449
         279     1.34469     1.32695  0.00405042
         280     1.31879     1.32692  0.00403606
         281     1.32418     1.32691  0.00402171
         282      1.3294     1.32692  0.00400746
         283     1.31634     1.32688  0.00399347
         284     1.30941     1.32682  0.00397988
         285     1.27363     1.32663  0.00397029
         286     1.25888     1.32639  0.00396347
         287     1.26491     1.32618  0.00395544
         288     1.27666     1.32601  0.00394544
         289     1.28513     1.32587  0.00393433
         290     1.26631     1.32566  0.00392611
         291     1.27549     1.32549  0.00391641
         292     1.30517     1.32542  0.00390361
         293     1.27451     1.32524  0.00389415
         294     1.27569     1.32508  0.00388456
         295     1.29767     1.32498   0.0038725
         296      1.2657     1.32478  0.00386459
         297     1.24614     1.32452  0.00386064
         298     1.27865     1.32436  0.00385075
         299     1.29814     1.32428  0.00383887
         300     1.28993     1.32416  0.00382778
         301      1.2942     1.32406  0.00381636
         302      1.3388     1.32411  0.00380403
         303     1.31729     1.32409  0.00379154
         304     1.34305     1.32415  0.00377959
         305      1.3152     1.32412  0.00376731
         306     1.31985     1.32411  0.00375502
         307     1.29567     1.32401  0.00374393
         308     1.30445     1.32395  0.00373232
         309     1.29318     1.32385  0.00372157
         310     1.29308     1.32375  0.00371088
         311     1.31609     1.32373  0.00369903
         312     1.29998     1.32365  0.00368796
         313      1.2907     1.32355  0.00367768
         314       1.276     1.32339  0.00366908
         315     1.26518     1.32321  0.00366209
         316      1.2541     1.32299  0.00365702
         317      1.2965     1.32291  0.00364644
         318     1.31632     1.32289  0.00363503
         319     1.30922     1.32284  0.00362389
         320     1.28016     1.32271  0.00361502
         321     1.25239     1.32249  0.00361039
         322     1.27055     1.32233  0.00360278
         323     1.27442     1.32218  0.00359468
         324     1.27429     1.32203  0.00358662
         325     1.29214     1.32194  0.00357677
         326     1.28548     1.32183  0.00356754
         327      1.3153     1.32181  0.00355669
         328     1.34016     1.32187  0.00354629
         329     1.31115     1.32183  0.00353566
         330     1.33112     1.32186  0.00352505
         331     1.32587     1.32187  0.00351443
         332     1.31495     1.32185   0.0035039
         333     1.28332     1.32174  0.00349529
         334     1.29003     1.32164  0.00348611
         335     1.28769     1.32154  0.00347718
         336       1.287     1.32144  0.00346835
         337     1.32216     1.32144  0.00345806
         338     1.36016     1.32156  0.00344973
         339     1.30629     1.32151  0.00343984
         340     1.28559      1.3214  0.00343135
         341     1.30227     1.32135  0.00342174
         342      1.2708      1.3212  0.00341493
         343     1.29884     1.32114   0.0034056
         344     1.33678     1.32118    0.003396
         345     1.31802     1.32117  0.00338617
         346     1.31036     1.32114  0.00337653
         347     1.32272     1.32115   0.0033668
         348     1.33667     1.32119  0.00335742
         349      1.3421     1.32125  0.00334833
         350     1.36943     1.32139  0.00334159
         351     1.35657     1.32149  0.00333358
         352     1.34823     1.32156  0.00332497
         353     1.31314     1.32154  0.00331564
         354     1.29175     1.32146  0.00330734
         355     1.35466     1.32155  0.00329935
         356     1.32492     1.32156  0.00329009
         357     1.29663     1.32149  0.00328162
         358     1.27468     1.32136  0.00327505
         359     1.31563     1.32134  0.00326597
         360     1.30635      1.3213  0.00325716
         361     1.31715     1.32129  0.00324816
         362     1.31995     1.32129  0.00323919
         363     1.31927     1.32128  0.00323027
         364        1.35     1.32136  0.00322236
         365     1.33162     1.32139  0.00321366
         366     1.33838     1.32143  0.00320521
         367     1.33982     1.32148  0.00319687
         368     1.30529     1.32144  0.00318848
         369     1.28754     1.32135  0.00318117
         370     1.30388      1.3213  0.00317292
         371      1.2789     1.32119  0.00316642
         372     1.32479      1.3212  0.00315793
         373     1.31471     1.32118  0.00314951
         374     1.31289     1.32116  0.00314117
         375     1.32593     1.32117  0.00313281
         376     1.30321     1.32112  0.00312485
         377     1.31736     1.32111  0.00311657
         378     1.29056     1.32103  0.00310938
         379     1.30023     1.32098  0.00310166
         380      1.3155     1.32096  0.00309353
         381     1.33691       1.321  0.00308569
         382     1.31802     1.32099  0.00307762
         383     1.30207     1.32095  0.00306999
         384     1.32904     1.32097  0.00306206
         385     1.33548       1.321  0.00305434
         386     1.31035     1.32098  0.00304655
         387     1.31555     1.32096  0.00303871
