#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         241       -0.36   -0.451286  0.00779343
         242       -0.44    -0.45124  0.00776137
         243       -0.36   -0.450864  0.00773851
         244       -0.36   -0.450492  0.00771575
         245       -0.76   -0.451755  0.00778699
         246        -0.6   -0.452358  0.00777861
         247       -0.36   -0.451984   0.0077561
         248       -0.36   -0.451613  0.00773369
         249       -0.44   -0.451566  0.00770277
         250        -0.6    -0.45216  0.00769481
         251       -0.52    -0.45243   0.0076689
         252        -0.6   -0.453016  0.00766079
         253       -0.52   -0.453281  0.00763509
         254       -0.52   -0.453543  0.00760955
         255        -0.6   -0.454118  0.00760135
         256       -0.28   -0.453437  0.00760202
         257       -0.36   -0.453074  0.00758113
         258       -0.36   -0.452713  0.00756033
         259       -0.44   -0.452664   0.0075313
         260       -0.36   -0.452308  0.00751076
         261       -0.52   -0.452567  0.00748646
         262       -0.44   -0.452519  0.00745804
         263       -0.44   -0.452471  0.00742983
         264       -0.36   -0.452121  0.00740994
         265       -0.52   -0.452377   0.0073864
         266       -0.52   -0.452632  0.00736301
         267       -0.52   -0.452884  0.00733975
         268       -0.36   -0.452537  0.00732054
         269       -0.52   -0.452788  0.00729762
         270        -0.6   -0.453333  0.00729094
         271        -0.6   -0.453875  0.00728409
         272       -0.68   -0.454706   0.0073046
         273       -0.52   -0.454945  0.00728176
         274       -0.36   -0.454599  0.00726342
         275       -0.68   -0.455418  0.00728311
         276       -0.28   -0.454783   0.0072844
         277       -0.52   -0.455018  0.00726191
         278       -0.28   -0.454388  0.00726302
         279       -0.44   -0.454337  0.00723717
         280       -0.36      -0.454  0.00721916
         281       -0.36   -0.453665  0.00720122
         282       -0.52   -0.453901  0.00717952
         283       -0.44   -0.453852  0.00715432
         284       -0.44   -0.453803   0.0071293
         285       -0.68   -0.454596  0.00714832
         286       -0.44   -0.454545  0.00712351
         287       -0.36   -0.454216   0.0071063
         288        -0.2   -0.453333  0.00713624
         289       -0.28   -0.452734  0.00713671
         290       -0.28   -0.452138  0.00713691
         291       -0.52   -0.452371  0.00711619
         292       -0.68   -0.453151  0.00713439
         293       -0.52   -0.453379  0.00711369
         294        -0.6   -0.453878  0.00710696
         295       -0.44   -0.453831  0.00708302
         296       -0.44   -0.453784  0.00705924
         297       -0.28   -0.453199  0.00705968
         298       -0.44   -0.453154  0.00703613
         299       -0.36   -0.452843   0.0070195
         300       -0.28   -0.452267   0.0070197
         301       -0.28   -0.451694  0.00701967
         302       -0.28   -0.451126  0.00701941
         303        -0.2   -0.450297  0.00704501
         304       -0.52   -0.450526  0.00702556
         305       -0.52   -0.450754  0.00700622
         306       -0.68   -0.451503  0.00702326
         307       -0.44   -0.451466  0.00700048
         308        -0.6   -0.451948  0.00699435
         309       -0.44   -0.451909  0.00697182
         310       -0.36   -0.451613  0.00695563
         311       -0.28   -0.451061  0.00695512
         312       -0.44   -0.451026  0.00693292
         313       -0.44    -0.45099  0.00691086
         314       -0.44   -0.450955  0.00688894
         315       -0.36   -0.450667  0.00687311
         316        -0.6   -0.451139  0.00686759
