#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         407       -0.92   -0.899951  0.00232936
         408       -0.92        -0.9  0.00232417
         409       -0.92   -0.900049    0.002319
         410       -0.92   -0.900098  0.00231386
         411       -0.92   -0.900146  0.00230873
         412       -0.84        -0.9  0.00230774
         413       -0.92   -0.900048  0.00230266
         414       -0.92   -0.900097   0.0022976
         415       -0.92   -0.900145  0.00229257
         416       -0.92   -0.900192  0.00228755
         417       -0.92    -0.90024  0.00228256
         418       -0.92   -0.900287  0.00227759
         419       -0.92   -0.900334  0.00227264
         420       -0.92   -0.900381  0.00226771
         421       -0.92   -0.900428   0.0022628
         422       -0.84   -0.900284  0.00226197
         423       -0.84   -0.900142   0.0022611
         424       -0.84        -0.9  0.00226022
         425       -0.84   -0.899859   0.0022593
         426       -0.92   -0.899906  0.00225449
         427       -0.92   -0.899953  0.00224971
         428       -0.92        -0.9  0.00224494
         429       -0.92   -0.900047  0.00224019
         430       -0.92   -0.900093  0.00223546
         431       -0.92   -0.900139  0.00223075
         432       -0.92   -0.900185  0.00222606
         433       -0.92   -0.900231  0.00222139
         434       -0.92   -0.900276  0.00221674
         435       -0.92   -0.900322   0.0022121
         436       -0.92   -0.900367  0.00220749
         437       -0.92   -0.900412   0.0022029
         438       -0.92   -0.900457  0.00219832
         439       -0.92   -0.900501  0.00219376
         440       -0.92   -0.900545  0.00218923
         441       -0.92    -0.90059  0.00218471
         442       -0.92   -0.900633  0.00218021
         443       -0.92   -0.900677  0.00217572
         444       -0.92   -0.900721  0.00217126
         445       -0.92   -0.900764  0.00216681
         446       -0.92   -0.900807  0.00216238
         447       -0.92    -0.90085  0.00215797
         448       -0.92   -0.900893  0.00215358
         449       -0.92   -0.900935   0.0021492
         450       -0.92   -0.900978  0.00214484
         451       -0.92    -0.90102   0.0021405
         452       -0.92   -0.901062  0.00213618
         453       -0.92   -0.901104  0.00213187
         454       -0.92   -0.901145  0.00212758
         455       -0.92   -0.901187  0.00212331
         456       -0.92   -0.901228  0.00211905
         457       -0.92   -0.901269  0.00211481
         458       -0.92    -0.90131  0.00211059
         459       -0.92   -0.901351  0.00210639
         460       -0.92   -0.901391   0.0021022
         461       -0.92   -0.901432  0.00209802
         462       -0.92   -0.901472  0.00209387
         463       -0.92   -0.901512  0.00208973
         464       -0.92   -0.901552   0.0020856
         465       -0.92   -0.901591   0.0020815
         466       -0.92   -0.901631   0.0020774
         467       -0.92    -0.90167  0.00207333
         468       -0.92   -0.901709  0.00206927
         469       -0.92   -0.901748  0.00206522
         470       -0.92   -0.901787  0.00206119
         471       -0.92   -0.901826  0.00205718
         472       -0.92   -0.901864  0.00205318
         473       -0.92   -0.901903   0.0020492
         474       -0.92   -0.901941  0.00204523
         475       -0.92   -0.901979  0.00204128
         476       -0.92   -0.902017  0.00203734
         477       -0.92   -0.902055  0.00203342
         478       -0.92   -0.902092  0.00202951
         479       -0.92   -0.902129  0.00202562
         480       -0.92   -0.902167  0.00202174
         481       -0.92   -0.902204  0.00201788
         482       -0.92   -0.902241  0.00201403
         483       -0.92   -0.902277   0.0020102
         484       -0.92   -0.902314  0.00200638
         485       -0.92   -0.902351  0.00200257
         486       -0.92   -0.902387  0.00199878
         487       -0.92   -0.902423    0.001995
         488       -0.92   -0.902459  0.00199124
         489       -0.92   -0.902495  0.00198749
         490       -0.92   -0.902531  0.00198376
         491       -0.92   -0.902566  0.00198003
         492       -0.92   -0.902602  0.00197633
         493       -0.92   -0.902637  0.00197263
         494       -0.92   -0.902672  0.00196895
         495       -0.92   -0.902707  0.00196529
         496       -0.92   -0.902742  0.00196163
         497       -0.92   -0.902777  0.00195799
         498       -0.92   -0.902811  0.00195437
         499       -0.92   -0.902846  0.00195075
         500       -0.92    -0.90288  0.00194715
         501       -0.92   -0.902914  0.00194357
         502       -0.92   -0.902948  0.00193999
         503       -0.92   -0.902982  0.00193643
         504       -0.92   -0.903016  0.00193289
         505       -0.92    -0.90305  0.00192935
         506       -0.92   -0.903083  0.00192583
         507       -0.92   -0.903116  0.00192232
         508       -0.92    -0.90315  0.00191882
         509       -0.92   -0.903183  0.00191534
         510       -0.92   -0.903216  0.00191187
         511       -0.92   -0.903249  0.00190841
         512       -0.92   -0.903281  0.00190496
         513       -0.84   -0.903158  0.00190524
         514       -0.92   -0.903191  0.00190181
         515       -0.92   -0.903223   0.0018984
         516       -0.92   -0.903256    0.001895
         517       -0.92   -0.903288  0.00189161
         518       -0.92    -0.90332  0.00188823
         519       -0.92   -0.903353  0.00188487
         520       -0.92   -0.903385  0.00188152
         521       -0.92   -0.903417  0.00187817
         522       -0.92   -0.903448  0.00187484
         523       -0.92    -0.90348  0.00187153
         524       -0.92   -0.903511  0.00186822
         525       -0.92   -0.903543  0.00186493
         526       -0.92   -0.903574  0.00186164
         527       -0.92   -0.903605  0.00185837
         528       -0.92   -0.903636  0.00185511
         529       -0.92   -0.903667  0.00185186
         530       -0.92   -0.903698  0.00184862
         531       -0.92   -0.903729   0.0018454
         532       -0.92   -0.903759  0.00184218
         533       -0.92    -0.90379  0.00183898
         534       -0.92    -0.90382  0.00183579
         535       -0.92    -0.90385   0.0018326
         536       -0.92   -0.903881  0.00182943
