#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         236     2.04086     1.99628  0.00704891
         237     2.03629     1.99644  0.00702119
         238     2.03429      1.9966  0.00699349
         239     2.03062     1.99675  0.00696568
         240      2.0085      1.9968  0.00693683
         241     2.00667     1.99684  0.00690817
         242      1.9954     1.99683  0.00687962
         243     1.94322     1.99661  0.00685485
         244     1.93351     1.99635  0.00683163
         245     1.94715     1.99615   0.0068067
         246     1.96143     1.99601  0.00678049
         247     1.99109     1.99599  0.00675307
         248     1.98809     1.99596  0.00672591
         249      1.9699     1.99585  0.00669972
         250     1.94873     1.99566  0.00667557
         251      1.9702     1.99556  0.00664974
         252     1.91688     1.99525  0.00663068
         253     1.92845     1.99499  0.00660973
         254     1.97719     1.99492  0.00658408
         255     1.93764     1.99469  0.00656209
         256     1.94197     1.99449  0.00653969
         257     1.97015     1.99439  0.00651493
         258     1.94143     1.99419  0.00649291
         259     1.93353     1.99395  0.00647206
         260     1.91624     1.99365  0.00645407
         261     1.94876     1.99348  0.00643163
         262     1.95029     1.99332   0.0064092
         263      1.9187     1.99303   0.0063911
         264     1.96165     1.99291    0.006368
         265     1.92073     1.99264  0.00634979
         266     1.91309     1.99234  0.00633296
         267     1.89323     1.99197  0.00632011
         268     1.91613     1.99169  0.00630286
         269     1.93123     1.99146  0.00628343
         270     1.93071     1.99124  0.00626419
         271     1.90978     1.99094  0.00624828
         272     1.95025     1.99079   0.0062271
         273     1.98141     1.99075  0.00620439
         274     1.97598      1.9907  0.00618198
         275     1.94261     1.99052  0.00616197
         276     1.96288     1.99042  0.00614046
         277     1.97288     1.99036  0.00611862
         278     1.97953     1.99032  0.00609673
         279     2.01704     1.99042  0.00607563
         280     1.97818     1.99037  0.00605409
         281     1.98627     1.99036  0.00603256
         282     1.99409     1.99037  0.00601118
         283     1.97451     1.99032   0.0059902
         284     1.96412     1.99022  0.00596982
         285     1.91044     1.98994  0.00595544
         286     1.88832     1.98959   0.0059452
         287     1.89737     1.98927  0.00593316
         288     1.91499     1.98901  0.00591817
         289      1.9277      1.9888  0.00590149
         290     1.89947     1.98849  0.00588917
         291     1.91324     1.98823  0.00587461
         292     1.95775     1.98813  0.00585542
         293     1.91176     1.98787  0.00584123
         294     1.91353     1.98761  0.00582683
         295     1.94651     1.98747  0.00580875
         296     1.89855     1.98717  0.00579689
         297     1.86921     1.98678  0.00579096
         298     1.91798     1.98655  0.00577613
         299     1.94721     1.98641  0.00575831
         300      1.9349     1.98624  0.00574167
         301      1.9413     1.98609  0.00572454
         302     2.00821     1.98617  0.00570605
         303     1.97593     1.98613  0.00568732
         304     2.01458     1.98623  0.00566938
         305      1.9728     1.98618  0.00565096
         306     1.97977     1.98616  0.00563253
         307      1.9435     1.98602   0.0056159
         308     1.95668     1.98593  0.00559847
         309     1.93977     1.98578  0.00558235
         310     1.93962     1.98563  0.00556633
         311     1.97413     1.98559  0.00554855
         312     1.94997     1.98548  0.00553194
         313     1.93605     1.98532  0.00551652
         314       1.914     1.98509  0.00550363
         315     1.89777     1.98482  0.00549313
         316     1.88115     1.98449  0.00548554
         317     1.94475     1.98436  0.00546966
         318     1.97447     1.98433  0.00545255
         319     1.96383     1.98427  0.00543584
         320     1.92023     1.98407  0.00542253
         321     1.87858     1.98374  0.00541559
         322     1.90583      1.9835  0.00540417
         323     1.91163     1.98327  0.00539202
         324     1.91143     1.98305  0.00537993
         325     1.93821     1.98291  0.00536515
         326     1.92822     1.98275  0.00535131
         327     1.97296     1.98272  0.00533503
         328     2.01024      1.9828  0.00531943
         329     1.96672     1.98275  0.00530348
         330     1.99668     1.98279  0.00528758
         331     1.98881     1.98281  0.00527164
         332     1.97243     1.98278  0.00525585
         333     1.92498     1.98261  0.00524293
         334     1.93505     1.98246  0.00522917
         335     1.93153     1.98231  0.00521577
         336      1.9305     1.98216  0.00520253
         337     1.98324     1.98216  0.00518709
         338     2.04024     1.98233  0.00517459
         339     1.95944     1.98227  0.00515976
         340     1.92839     1.98211  0.00514702
         341     1.95341     1.98202  0.00513262
         342      1.9062      1.9818  0.00512239
         343     1.94826      1.9817  0.00510839
         344     2.00517     1.98177    0.005094
         345     1.97704     1.98176  0.00507925
         346     1.96554     1.98171  0.00506479
         347     1.98408     1.98172   0.0050502
         348     2.00501     1.98178  0.00503613
         349     2.01315     1.98187   0.0050225
         350     2.05414     1.98208  0.00501239
         351     2.03486     1.98223  0.00500037
         352     2.02234     1.98235  0.00498746
         353     1.96971     1.98231  0.00497346
         354     1.93762     1.98218  0.00496101
         355     2.03199     1.98232  0.00494902
         356     1.98738     1.98234  0.00493514
         357     1.94494     1.98223  0.00492243
         358     1.91203     1.98204  0.00491258
         359     1.97344     1.98201  0.00489896
         360     1.95952     1.98195  0.00488575
         361     1.97572     1.98193  0.00487224
         362     1.97992     1.98193  0.00485879
         363     1.97891     1.98192  0.00484541
         364       2.025     1.98204  0.00483354
         365     1.99742     1.98208  0.00482048
         366     2.00757     1.98215  0.00480782
         367     2.00972     1.98222   0.0047953
         368     1.95794     1.98216  0.00478273
         369     1.93131     1.98202  0.00477175
         370     1.95582     1.98195  0.00475938
         371     1.91834     1.98178  0.00474964
         372     1.98719     1.98179  0.00473689
         373     1.97206     1.98177  0.00472426
         374     1.96933     1.98173  0.00471175
         375      1.9889     1.98175  0.00469922
         376     1.95482     1.98168  0.00468727
         377     1.97605     1.98167  0.00467486
         378     1.93584     1.98154  0.00466407
         379     1.95034     1.98146  0.00465249
         380     1.97325     1.98144  0.00464029
         381     2.00537      1.9815  0.00462854
         382     1.97703     1.98149  0.00461644
         383      1.9531     1.98142  0.00460498
         384     1.99356     1.98145  0.00459309
         385     2.00321     1.98151  0.00458151
         386     1.96552     1.98146  0.00456983
         387     1.97332     1.98144  0.00455807
         388     1.98106     1.98144  0.00454632
         389     1.91862     1.98128   0.0045375
         390     1.91902     1.98112  0.00452868
         391     1.93455       1.981  0.00451866
         392      1.9119     1.98083  0.00451057
         393     1.93026      1.9807  0.00450093
         394     1.97056     1.98067  0.00448958
         395     1.98379     1.98068  0.00447822
         396     2.00987     1.98075  0.00446752
         397     2.00733     1.98082  0.00445676
         398     1.95859     1.98076  0.00444592
         399     1.90759     1.98058  0.00443855
         400     1.93034     1.98046  0.00442923
         401     1.95096     1.98038   0.0044188
         402     1.96254     1.98034  0.00440803
         403     2.00858     1.98041  0.00439765
         404     1.97274     1.98039  0.00438681
         405     1.94804     1.98031   0.0043767
         406     1.94653     1.98023  0.00436671
         407     1.99619     1.98026  0.00435616
         408     1.96122     1.98022  0.00434573
         409     1.95246     1.98015  0.00433564
         410     1.95891      1.9801  0.00432537
         411     2.01329     1.98018   0.0043156
         412      1.9519     1.98011  0.00430567
         413     1.98848     1.98013  0.00429529
         414      1.9843     1.98014  0.00428493
         415     1.92856     1.98002  0.00427641
         416     1.93914     1.97992  0.00426726
         417     1.93982     1.97982  0.00425811
         418     1.93237     1.97971  0.00424943
         419     1.97351     1.97969  0.00423932
         420     1.93673     1.97959  0.00423046
         421     1.96003     1.97955  0.00422067
         422     1.94656     1.97947  0.00421139
         423     1.98236     1.97947  0.00420144
         424      2.0175     1.97956  0.00419248
         425     2.03871      1.9797  0.00418493
         426     2.01178     1.97978  0.00417578
         427     1.97729     1.97977  0.00416601
         428      1.9535     1.97971  0.00415673
         429      1.9501     1.97964  0.00414761
         430      1.9793     1.97964  0.00413796
         431     2.00131     1.97969  0.00412867
         432     2.05593     1.97987  0.00412288
         433     2.04439     1.98002  0.00411605
         434     2.02274     1.98012  0.00410774
         435     2.06017      1.9803  0.00410242
         436      1.9851     1.98031  0.00409303
         437     1.94946     1.98024  0.00408427
         438     1.94471     1.98016  0.00407575
         439     1.96122     1.98012   0.0040667
         440     1.95763     1.98006  0.00405777
         441     1.91052     1.97991  0.00405164
         442     1.90589     1.97974  0.00404593
         443     1.92892     1.97962  0.00403842
         444     1.99208     1.97965  0.00402942
         445     1.96527     1.97962   0.0040205
         446     1.99363     1.97965  0.00401161
         447      1.9596     1.97961  0.00400288
         448     1.92992      1.9795  0.00399548
         449     1.93699      1.9794  0.00398771
         450     1.92676     1.97928  0.00398056
         451     1.97732     1.97928  0.00397174
         452     1.92686     1.97916  0.00396464
         453     1.90169     1.97899  0.00395958
         454     1.92239     1.97887  0.00395282
         455     1.91962     1.97874  0.00394627
         456     1.91806      1.9786  0.00393986
         457     1.94564     1.97853   0.0039319
         458     1.99148     1.97856  0.00392342
         459     1.98085     1.97857  0.00391487
         460     1.98795     1.97859  0.00390642
         461     2.00875     1.97865  0.00389849
         462     2.00938     1.97872  0.00389062
         463     2.04328     1.97886  0.00388472
         464     2.06936     1.97905  0.00388124
         465      1.9912     1.97908  0.00387298
         466     2.00039     1.97912  0.00386494
         467     1.99169     1.97915  0.00385675
         468     1.99126     1.97918   0.0038486
